start (in ms),speaker,text
280,Participant,hi temi turn around please
7654,TEMI,you want me to turn around
10534,Participant,yes
15174,TEMI,why do you want me to turn around
17934,Participant,hi temi please turn around and let me take a photo of your back
26354,TEMI,okay in which direction do you want to engage in a rotational realignment
32874,Participant,hi temi turn around on the right side
40274,TEMI,i will turn around ((temi turns around)) (7.0)
47274,TEMI,how is this {Participant}
57734,Participant,sorry i didn't understand
63454,TEMI,how is this
65774,Participant,hi temi this is good
73734,TEMI,can i turn back already
80794,Participant,hey temi yes you can turn around
87594,TEMI,okay thank you
97954,Participant,hi temi
99010,TEMI,hey {Participant} can i do anything else for you
102894,Participant,hei temi yes you can check if the light in the kitchen is on or off
117374,TEMI,do you want me to check if the fridge is open
119260,Participant,hey temi no hey temi i would like you to check if the lights in the kitchen are on or off
134563,TEMI,apologies you want me to check if the kitchen light is switched off
143283,Participant,hi temi yes
149443,TEMI,sure i will check ((temi goes to the kitchen)) (47.0)
204124,TEMI,i just checked the kitchen light is off is that what you wanted to know
209120,Participant,hi temi yes that's right thank you
219234,TEMI,perfect is there anything else i can help you with
229554,Participant,hi temi yes i would like you to get a book out of the kitchen
238174,TEMI,sorry i didn't understand could you repeat that please
243254,Participant,hi temi i would like you to get a uh book out of the kitchen
249814,TEMI,do you want me to get the book or just check if there is a book in the kitchen
254774,Participant,hi temi i would like you to bring me the book
271513,TEMI,so to double check you want me to give you the book from the kitchen
276505,Participant,hi temi yes
281673,TEMI,okay i will get you the book ((temi goes to the kitchen)) (47.0)
336334,TEMI,there are two books in the kitchen one about statistics and one about robots which one do you want
345654,Participant,hey temi please bring me the book about uh robotic
353534,TEMI,you want me to bring you the book about robots is that correct
358126,Participant,hi temi yes this is correct
360974,TEMI,sure i'm on my way ((temi goes to the kitchen)) (55.0)
423154,TEMI,i got you the robot book is this the one you requested
427954,Participant,hi temi yes thank you very much
434154,TEMI,no problem is there anything else i can do for you
443394,Participant,please turn around that i can get the book 
453323,Participant,thank you very much oh 
459074,TEMI,how is this
461834,Participant,hi temi thank you very much but please bring me the other book
477694,TEMI,what did i do wrong
481494,Participant,hi temi this is the book about statistics i would like the book about robotic
495834,TEMI,ah my bad i will get you the robot book ((temi goes to the kitchen)) (47.0)
553064,TEMI,sorry again i think this is the right book is that correct
558424,Participant,hey temi please turn round
562864,TEMI,sure how is this
574124,Participant,hi temi this is very good this is the right book thank you very much
579044,TEMI,you're welcome
